sample_id,job,status,reason,Fcm_MPa,c_nom_bottom_mm,c_nom_top_mm,E_MPa,seed,present_ld,present_damage,n_points,n_points_finite,t_final,t_frac_of_target,reached_full_step,U2_max_abs,U2_final,peak_RF2,U2_at_peak,n_points_after_peak,RF2_final,postpeak_drop_frac_max,postpeak_drop_frac_final,softening_captured,k0_N_per_mm,n_pts_for_k0,damage_final,damage_max,damage_U2_at_half_max,damage_at_U2_10mm,damage_monotone,damage_n_points,damage_t_final,n_nan,n_dup_time,n_dup_rows_exact,time_monotone,U2_monotone,damage_n_nan
263,sample_263,valid,reached t=1.000 (>=95% of target); softening captured,26.27569852875092,27.27832701634392,220.6819687070304,29396.048953384518,42,True,True,9468.0,9468.0,1.0,1.0,True,20.0,20.0,34998.38671875,12.531787872314451,3181.0,22721.943359375,0.35077169293629273,0.35077169293629273,True,12001.488896519008,216.0,0.9470000267028807,0.9470000267028807,7.000441551208496,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
264,sample_264,missing,no rows in load_displacement_full.csv,33.97880739776968,32.5277361866697,219.0527652661759,31753.026098755174,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
265,sample_265,valid,reached t=1.000 (>=95% of target); softening captured,23.939040909774903,30.240316717133243,224.587742537546,28586.08658989436,42,True,True,9701.0,9701.0,1.0,1.0,True,20.0,20.0,33652.140625,8.589550018310547,6656.0,18214.43359375,0.717757263305594,0.4587436859746571,True,14291.384628435731,76.0,0.9470000267028807,0.9470000267028807,8.302824020385742,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
266,sample_266,valid,reached t=1.000 (>=95% of target); softening captured,26.90524037921945,25.454598680742464,224.83450475583084,29605.591592493285,42,True,True,7985.0,7985.0,1.0,1.0,True,20.0,20.0,38650.30078125,10.07756519317627,4507.0,21017.787109375,0.704184516271047,0.45620637654723944,True,13039.724753748273,145.0,0.9470000267028807,0.9470000267028807,9.405818939208984,0.5790257639577884,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
267,sample_267,valid,reached t=1.000 (>=95% of target); softening captured,27.421754002494595,30.6839749918368,212.2798727260996,29774.964336851757,42,True,True,8828.0,8828.0,1.0,1.0,True,20.0,20.0,34574.94921875,11.935821533203123,4105.0,29423.77734375,0.31945494994061246,0.1489856671201275,True,11782.252655615352,214.0,0.9470000267028807,0.9470000267028807,8.40189266204834,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
268,sample_268,valid,reached t=1.000 (>=95% of target); softening captured,25.30329058513125,23.685843268486344,229.15309391101235,29065.36503792912,42,True,True,8877.0,8877.0,1.0,1.0,True,20.0,20.0,33883.4375,9.919896125793455,4181.0,19271.546875,0.7082514041705479,0.43123991256790284,True,13326.186361824388,99.0,0.9470000267028807,0.9470000267028807,8.801669120788574,0.9470000267028807,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
269,sample_269,valid,reached t=1.000 (>=95% of target); softening captured,24.4039895673953,28.22701307181229,221.57106409957893,28751.52798680593,42,True,True,12582.0,12582.0,1.0,1.0,True,20.0,20.0,36140.2734375,11.17653465270996,7569.0,30946.37109375,0.24575849743458378,0.14371508153451557,True,12196.436104473,199.0,0.9470000267028807,0.9470000267028807,7.700321674346924,0.9455016836668957,True,200.0,1.0,0.0,0.0,0.0,True,True,0.0
270,sample_270,missing,no rows in load_displacement_full.csv,26.36468841876439,31.11581246315908,214.0987353645206,29425.88096212278,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
271,sample_271,missing,no rows in load_displacement_full.csv,25.826178587512736,33.48536287137992,221.99381645541476,29244.266018015773,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,sample_272,missing,no rows in load_displacement_full.csv,29.873730035581357,25.8937698066492,229.50718435111116,30549.88054564485,42,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
